slug,currentName,alternativeSpelling,legalName,arawakanCorrection,phonetic,ipa,taino,garifuna,kalipona,lokono,wayuu,resources,notes
aymaco,Aymaco,,Yukayeke Aymako,"Aimako, Aymako",eye-MAH-koh,[ajˈmako],,,Aímako (Valiant People),not vicious,N/A,,"19d ago

Breton examples:


Aimácani: a remedy, the flesh of a bird of prey carried on the neck as a relic to make oneself fearless, valiant.

Aímacoüa naclée: I want to be valiant (Breton adds “against the Arawaks,” which is his colonial exaggeration and is not in the sentence ). If it’s this word, Aímako/Aímagu translates to (Valiant People) (edited)"
abacoa,Abacoa,,Yukayeke Abakoa,Abakoa,ah-bah-KOH-ah,[aβaˈkoa],,Abagua,Abakoa,something more,N/A,,"19d ago

Abakoa/ Abagua

Aban = one. Add -kua/-gua (self/collective) → Abakua = the one itself / one people."
sibuco,Cibuco,Cebuco,Yukayeke Sibuko,Sibuko,see-BOO-koh,[siˈβuko],,,,Nest or a thick forest,N/A,,
toa,Toa,,Yukayeke Toa,Toa,TOH-ah,[ˈto.a],,Húa (toad),Hóa,N/A,N/A,,
bayamon,Bayamon,,Yukayeke Bayamon,"Baiamon ,Bayamon",bah-yah-MOHN,[baʝaˈmon],,,Ayamon (Turtle in Galibi),for yourself,N/A,,
guaynabo,Guaynabo,,Yukayeke Wainabo,"Wainabo, Waynabo",gwai-NAH-boh,[ɡwaiˈnaβo],,,,it's you,N/A,,
hamanio,Haimanio,,Yukayeke Aimanio,Aimanio,eye-mah-NEE-oh,[ajmaˈni.o],,,,N/A,N/A,,
canaibon,Caynabon,"Caynaibon, Canaibon",Yukayeke Kainabon,"Kainabon, Kainaibon",kai-nah-BOHN,[kai̯naˈβon],,,,N/A,Kainai'won = Nombre/Palabra (el dispara sombrero),,
dacuao,Daguao,Dacuao,Yukayeke Dawao,Dawao,dah-GWAH-oh,[daˈɣwa.o],,,,N/A,N/A,,
bieque,Bieke,,Yukayeke Bieke,"Bieke, Byeke",BYEH-keh,[ˈbje.ke],,,,the next one,N/A,,
macao,Macao,,Yukayeke Makao,Makao,mah-KAH-oh,[maˈka.o],,,,N/A,Ma'akao = Palabra/Expresión (Fue a Causa de),,
guayaney,Guayaney,,Yukayeke Wayanei,"Waianei, Wayanei",gwah-yah-NAY,[ɡwaʝaˈnej],,,,N/A,Wa'ayané = Palabra/Expresión (Solo Estamos Nosotros),,
guayama,Guayama,Wayamo (Turtle),Yukayeke Wayama,"Waiama, Wayama",gwah-YAH-mah,[ɡwaˈʝama],,,Wayamo (Turtle),N/A,Waí'yama = Palabra/Expresión (Nuestra Esencia),,
turabo,Turabo,,Yukayeke Turabo,Turabo,too-RAH-boh,[tuˈɾa.βo],,,,N/A,"Türra'wo = Palabra/Expresión (Ella es, o Ella fue)",,
jatobonico,Atibonico,"Jatibonicu, Jatobonico",Yukayeke Atiboniku,"Hatiboniku, Atiboniku",ah-tee-boh-NEE-koh,[atiβoˈniko],,,,N/A,N/A,,
otao,Otoao,Utuao,Yukayeke Otoao,Otoao,oh-toh-AH-oh,[otoˈa.o],,,,N/A,N/A,,
guania,Guania,"Guainia,",Yukayeke Wainia,"Wania, Wainia",gwah-NEE-ah,[ɡwaˈni.a],,,,N/A,Wa'aniá = Palabra (Nuestra Herramienta Para Armar),,
yaguecax,Yaguecax,Yagueca,Yukayeke Yawekax,"Yawekax, Yaweka",yah-geh-KAHSH,[ʝaɣeˈkaks],,,,N/A,Ya'aweka = Palabra (Debe o tiene que estar aquí),,
_generic,Yucayeke,Lukañake,Yukayeke,"Yukayeke, Yukaieke, Iukaieke",yoo-kah-yeh-keh,[ju.kaˈje.ke],,lu.ga.ña.gai/lu.ga.ña.gei > the cassava field,Lu.kai.akei,N/A,N/A,,
